depth,alpha,beta,base_len,mean_val_filtered,mean_val_other,std_val_filtered,std_val_other,max_val_filtered,min_val_other
10,0,0.1,90,0.5904411271,0.3220181397,0.1124889978,0.084105791,0.9475779246,0.096939462
10,0,0.01,92,0.5843464975,0.3141730006,0.0930285222,0.0842962678,0.8926848879,0.088120983
10,0,0.001,101,0.5835261411,0.324850593,0.1049534496,0.0874399839,0.9888967715,0.1053905418
10,0,0.0001,103,0.5829738754,0.300457219,0.1101049514,0.1006532605,0.979170726,0.0604932194
10,0,0.00001,89,0.5993433998,0.3162636625,0.1176674895,0.088426801,0.9890852068,0.0633277464
10,0.3,0.1,97,0.6069512676,0.3098398259,0.1088952728,0.0916651827,0.8906778134,0.0443690908
10,0.3,0.01,123,0.5724890926,0.3484810903,0.089112603,0.0799313144,0.8138960043,0.0571346219
10,0.3,0.001,193,0.6399143722,0.4122896935,0.0822741104,0.0281787441,0.797188156,0.3697678843
10,0.3,0.0001,198,0.7947237046,0.4121368481,0.0745752096,0.030245428,0.9334025711,0.3818914201
10,0.3,0.00001,199,0.854198478,0.4423822761,0.0566865929,0,0.9296689522,0.4423822761
10,0.5,0.1,108,0.6112069329,0.3364852939,0.1159494629,0.0743420971,0.9034328264,0.159141961
10,0.5,0.01,176,0.6123546022,0.4000403896,0.0878172981,0.0539723879,0.8349877799,0.2458674572
10,0.5,0.001,199,0.7929676307,0.4423822761,0.0697121615,0,0.914523334,0.4423822761
10,0.5,0.0001,199,0.8852753169,0.4423822761,0.0683101768,0,0.9529973063,0.4423822761
10,0.5,0.00001,199,0.9095295919,0.4373457992,0.0729157546,0,0.970021565,0.4373457992
10,0.7,0.1,154,0.6082609606,0.3807483937,0.1156417995,0.0543222487,0.9222985398,0.1741439874
10,0.7,0.01,199,0.7490621352,0.4356704762,0.0650843348,0,0.907021417,0.4356704762
10,0.7,0.001,199,0.8702027748,0.4423822761,0.0614640611,0,0.9510144072,0.4423822761
10,0.7,0.0001,199,0.9113613679,0.4423822761,0.0869158323,0,0.9791841503,0.4423822761
10,0.7,0.00001,199,0.9399476314,0.4423822761,0.0688466649,0,0.9836000699,0.4423822761
10,1,0.1,199,0.8399093522,0.4363161618,0.0791984567,0,0.9698857841,0.4363161618
10,1,0.01,199,0.8880196905,0.4368337067,0.0630621428,0,0.9728891841,0.4368337067
10,1,0.001,199,0.8966693661,0.4423822761,0.0867864705,0,0.9907951663,0.4423822761
10,1,0.0001,198,0.9372082338,0.4381973271,0.0860629551,0.004184949,0.9999710589,0.434012378
10,1,0.00001,198,0.9471725742,0.3168875652,0.0799700736,0.1210092912,0.9999945475,0.1958782739
100,0,0.1,99,0.7296684396,0.1449905063,0.1264420624,0.0483892166,0.9800253555,0.0628060826
100,0,0.01,98,0.7248796301,0.1562101454,0.1114774811,0.0536911054,0.9586601537,0.0736606383
100,0,0.001,99,0.7389062096,0.1382775061,0.1235184076,0.0468384605,0.9296811024,0.0611788087
100,0,0.0001,99,0.7299285652,0.145365228,0.1096712067,0.0458352066,0.9383619268,0.0636313385
100,0,0.00001,98,0.736496354,0.1569408371,0.1171111948,0.0560697877,0.9866782075,0.0387126279
100,0.3,0.1,97,0.765057055,0.2265774426,0.1090593973,0.0564021133,0.9270323298,0.1416948144
100,0.3,0.01,177,0.6376238882,0.4284711527,0.1474231391,0.0182397156,0.908215578,0.3743812718
100,0.3,0.001,199,0.7966285168,0.4423822761,0.0607069526,0,0.914005621,0.4423822761
100,0.3,0.0001,198,0.8845222964,0.347088584,0.0716973844,0.0952936921,0.9462281133,0.251794892
100,0.3,0.00001,195,0.909705256,0.1785214777,0.0802568406,0.1633582193,0.9610331577,0.0045122952
100,0.5,0.1,99,0.7979435258,0.3501946941,0.0979655201,0.0320333124,0.9485204942,0.2819404512
100,0.5,0.01,199,0.751839838,0.434816699,0.0728258288,0,0.918093371,0.434816699
100,0.5,0.001,199,0.8684848521,0.4423822761,0.0661542178,0,0.9431333077,0.4423822761
100,0.5,0.0001,199,0.9202708951,0.4423822761,0.0795004211,0,0.9754410335,0.4423822761
100,0.5,0.00001,199,0.9417490023,0.4422374744,0.0596132961,0,0.979939476,0.4422374744
